protein1 protein2 experimental database textmining combined_score
208964.PA0019 208964.PA3656 611 0 0 611
208964.PA0019 208964.PA4250 611 0 0 611
208964.PA0019 208964.PA1005 156 0 0 155
208964.PA0019 208964.PA4261 611 0 0 611
208964.PA0019 208964.PA4254 611 0 0 611
208964.PA0019 208964.PA4244 611 0 0 611
208964.PA0019 208964.PA4257 611 0 0 611
208964.PA0019 208964.PA4246 611 0 0 611
208964.PA0019 208964.PA2742 611 0 0 611
208964.PA0019 208964.PA4253 611 0 0 611
208964.PA0019 208964.PA3745 611 0 0 611
208964.PA0019 208964.PA3063 156 0 0 155
208964.PA0019 208964.PA4255 611 0 0 611
208964.PA0019 208964.PA4934 611 0 0 611
208964.PA0020 208964.PA2676 383 0 0 382
208964.PA0020 208964.PA0622 673 0 0 673
208964.PA0020 208964.PA5210 354 0 0 354
208964.PA0020 208964.PA0943 274 0 0 274
208964.PA0020 208964.PA0617 688 0 0 688
208964.PA0020 208964.PA0329 688 0 0 688
208964.PA0020 208964.PA0628 643 0 0 643
208964.PA0020 208964.PA2783 274 0 0 274
208964.PA0020 208964.PA0616 425 0 0 424
208964.PA0020 208964.PA5040 947 0 0 946
208964.PA0020 208964.PA5043 492 0 0 491
208964.PA0020 208964.PA5041 425 0 0 424
208964.PA0020 208964.PA3102 383 0 0 382
208964.PA0020 208964.PA5042 492 0 0 491
208964.PA0020 208964.PA4526 354 0 0 354
208964.PA0020 208964.PA5044 492 0 0 491
208964.PA0020 208964.PA3103 354 0 0 354
208964.PA0020 208964.PA0683 367 0 0 367
208964.PA0020 208964.PA0686 354 0 0 354
208964.PA0020 208964.PA0687 383 0 0 382
208964.PA0020 208964.PA2677 354 0 0 354
208964.PA0021 208964.PA3617 152 0 358 432
208964.PA0021 208964.PA4232 0 0 358 358
208964.PA0022 208964.PA0580 0 0 240 239
208964.PA0022 208964.PA3685 0 0 225 224
208964.PA0023 208964.PA2424 0 0 239 238
208964.PA0024 208964.PA1546 0 900 0 900
208964.PA0024 208964.PA4655 0 0 335 335
208964.PA0025 208964.PA1068 180 0 0 179
208964.PA0025 208964.PA3011 0 0 239 238
208964.PA0025 208964.PA5038 0 0 224 224
208964.PA0025 208964.PA3769 0 0 489 489
208964.PA0025 208964.PA0244 0 900 0 900
208964.PA0025 208964.PA1596 180 0 0 179
208964.PA0025 208964.PA3617 230 0 224 376
208964.PA0025 208964.PA1770 0 0 254 253
208964.PA0025 208964.PA3118 168 0 0 167
208964.PA0025 208964.PA0651 181 0 0 181
208964.PA0027 208964.PA3028 168 0 93 213
208964.PA0027 208964.PA3770 163 0 0 163
208964.PA0027 208964.PA0633 118 0 99 171
208964.PA0027 208964.PA1777 0 0 163 163
208964.PA0027 208964.PA1847 0 0 241 240
208964.PA0027 208964.PA4270 162 0 0 161
208964.PA0027 208964.PA3914 168 0 93 213
208964.PA0027 208964.PA3648 139 0 134 222
208964.PA0027 208964.PA1082 176 0 0 175
208964.PA0027 208964.PA3800 118 0 99 171
208964.PA0029 208964.PA3106 188 0 43 189
208964.PA0029 208964.PA1470 188 0 43 189
208964.PA0029 208964.PA2424 334 0 0 334
208964.PA0029 208964.PA3427 188 0 43 189
208964.PA0029 208964.PA2515 188 0 43 189
208964.PA0029 208964.PA3511 188 0 43 189
208964.PA0029 208964.PA2003 188 0 43 189
208964.PA0029 208964.PA2887 188 0 43 189
208964.PA0029 208964.PA4148 188 0 43 189
208964.PA0029 208964.PA2648 485 0 0 485
208964.PA0029 208964.PA4430 573 0 0 573
208964.PA0029 208964.PA1344 188 0 43 189
208964.PA0029 208964.PA3437 188 0 43 189
208964.PA0029 208964.PA0182 188 0 43 189
208964.PA0029 208964.PA4281 533 0 0 533
208964.PA0029 208964.PA3334 334 0 0 334
208964.PA0029 208964.PA5150 188 0 43 189
208964.PA0029 208964.PA3839 0 0 162 161
208964.PA0029 208964.PA4098 188 0 43 189
208964.PA0029 208964.PA3885 555 0 0 555
208964.PA0029 208964.PA2554 188 0 43 189
208964.PA0029 208964.PA3387 188 0 43 189
208964.PA0029 208964.PA3287 444 0 85 469
208964.PA0029 208964.PA1828 188 0 43 189
208964.PA0029 208964.PA3327 334 0 0 334
208964.PA0029 208964.PA2918 188 0 43 189
208964.PA0029 208964.PA1649 188 0 43 189
208964.PA0029 208964.PA4089 188 0 43 189
208964.PA0029 208964.PA2400 334 0 0 334
208964.PA0029 208964.PA2966 334 0 0 334
208964.PA0029 208964.PA4389 188 0 43 189
208964.PA0029 208964.PA2142 188 0 43 189
208964.PA0029 208964.PA4162 188 0 43 189
208964.PA0029 208964.PA2498 444 0 85 469
208964.PA0029 208964.PA1023 188 0 43 189
208964.PA0029 208964.PA1066 188 0 43 189
208964.PA0029 208964.PA2967 188 0 43 189
208964.PA0029 208964.PA3507 188 0 43 189
208964.PA0029 208964.PA3173 188 0 43 189
208964.PA0029 208964.PA4786 188 0 43 189
208964.PA0029 208964.PA5521 188 0 43 189
208964.PA0029 208964.PA5524 188 0 43 189
208964.PA0029 208964.PA1827 188 0 43 189
208964.PA0029 208964.PA1869 334 0 0 334
208964.PA0029 208964.PA5031 188 0 43 189
208964.PA0029 208964.PA4612 444 0 85 469
208964.PA0029 208964.PA3128 188 0 43 189
208964.PA0030 208964.PA3187 0 540 0 540
208964.PA0030 208964.PA3383 0 360 0 360
208964.PA0030 208964.PA5377 0 800 99 812
208964.PA0030 208964.PA0890 0 360 0 360
208964.PA0030 208964.PA4496 0 360 0 360
208964.PA0030 208964.PA2397 0 540 0 540
208964.PA0030 208964.PA3236 0 540 0 540
208964.PA0030 208964.PA0603 0 360 0 360
208964.PA0030 208964.PA4193 0 360 0 360
208964.PA0030 208964.PA5103 0 360 0 360
208964.PA0030 208964.PA3890 0 540 0 540
208964.PA0030 208964.PA0302 0 360 0 360
208964.PA0030 208964.PA5231 0 360 0 360
208964.PA0030 208964.PA5095 0 800 99 812
208964.PA0030 208964.PA3888 0 540 0 540
208964.PA0030 208964.PA5096 0 360 0 360
208964.PA0030 208964.PA4500 0 360 0 360
208964.PA0030 208964.PA1811 0 360 0 360
208964.PA0030 208964.PA5230 0 360 0 360
208964.PA0030 208964.PA0889 0 360 0 360
208964.PA0030 208964.PA1257 0 360 0 360
208964.PA0030 208964.PA0206 0 360 0 360
208964.PA0030 208964.PA4455 0 360 0 360
208964.PA0030 208964.PA2409 0 360 0 360
208964.PA0030 208964.PA4194 0 360 0 360
208964.PA0030 208964.PA3313 0 360 0 360
208964.PA0030 208964.PA0280 0 360 0 360
208964.PA0030 208964.PA5450 0 540 0 540
208964.PA0030 208964.PA4502 0 360 0 360
208964.PA0030 208964.PA4497 0 360 0 360
208964.PA0030 208964.PA5155 0 360 0 360
208964.PA0030 208964.PA5376 406 800 117 885
208964.PA0030 208964.PA5154 0 360 0 360
208964.PA0030 208964.PA0326 0 360 0 360
208964.PA0030 208964.PA5451 0 360 0 360
208964.PA0030 208964.PA3538 0 360 0 360
208964.PA0030 208964.PA2925 0 360 0 360
208964.PA0030 208964.PA5388 0 540 0 540
208964.PA0030 208964.PA4461 0 360 0 360
208964.PA0030 208964.PA5317 0 360 0 360
208964.PA0030 208964.PA2058 0 360 0 360
208964.PA0030 208964.PA3254 0 360 0 360
208964.PA0030 208964.PA5075 0 360 0 360
208964.PA0030 208964.PA2678 0 360 0 360
208964.PA0030 208964.PA3211 0 360 0 360
208964.PA0030 208964.PA5378 0 540 0 540
208964.PA0030 208964.PA2341 0 540 0 540
208964.PA0030 208964.PA3607 0 360 0 360
208964.PA0030 208964.PA2924 0 360 0 360
208964.PA0030 208964.PA0313 0 360 0 360
208964.PA0030 208964.PA5500 0 540 0 540
208964.PA0030 208964.PA3828 0 540 0 540
208964.PA0030 208964.PA5501 0 360 0 360
208964.PA0030 208964.PA1810 0 360 0 360
208964.PA0030 208964.PA2408 0 540 0 540
208964.PA0030 208964.PA2202 0 360 0 360
208964.PA0030 208964.PA5094 406 800 117 885
208964.PA0030 208964.PA2811 0 360 0 360
208964.PA0030 208964.PA1258 0 360 0 360
208964.PA0030 208964.PA3889 0 540 0 540
208964.PA0030 208964.PA3891 0 540 0 540
208964.PA0030 208964.PA1340 0 360 0 360
208964.PA0030 208964.PA3827 0 540 0 540
208964.PA0030 208964.PA2203 0 360 0 360
208964.PA0030 208964.PA1341 0 360 0 360
208964.PA0031 208964.PA4270 312 0 0 311
208964.PA0031 208964.PA2395 433 0 0 433
208964.PA0031 208964.PA5337 383 0 0 382
208964.PA0031 208964.PA1866 274 0 0 274
208964.PA0031 208964.PA4238 384 0 0 384
208964.PA0031 208964.PA1045 274 0 0 274
208964.PA0031 208964.PA0071 433 0 0 433
208964.PA0033 208964.PA1976 61 0 169 186
208964.PA0033 208964.PA3271 61 0 357 370
208964.PA0033 208964.PA3946 61 0 144 161
208964.PA0033 208964.PA3704 61 0 150 167
208964.PA0033 208964.PA0413 61 0 150 167
208964.PA0033 208964.PA2177 61 0 169 186
208964.PA0033 208964.PA0928 61 0 135 153
208964.PA0033 208964.PA2137 61 0 170 187
208964.PA0033 208964.PA1243 61 0 367 380
208964.PA0033 208964.PA2786 61 0 169 186
208964.PA0033 208964.PA1992 61 0 244 259
208964.PA0033 208964.PA2583 61 0 144 161
208964.PA0034 208964.PA0928 321 0 223 449
208964.PA0034 208964.PA2567 61 0 149 166
208964.PA0034 208964.PA4112 321 0 150 398
208964.PA0034 208964.PA1430 152 0 61 169
208964.PA0034 208964.PA1136 152 0 61 169
208964.PA0034 208964.PA2786 231 0 102 279
208964.PA0034 208964.PA2137 131 0 128 209
208964.PA0034 208964.PA3060 162 0 0 161
208964.PA0034 208964.PA0600 325 0 150 401
208964.PA0034 208964.PA1181 61 0 167 184
208964.PA0034 208964.PA3477 152 0 61 169
208964.PA0034 208964.PA2778 178 0 0 177
208964.PA0034 208964.PA2177 231 0 102 279
208964.PA0034 208964.PA3462 231 0 101 279
208964.PA0034 208964.PA3974 231 0 74 257
208964.PA0034 208964.PA1979 207 0 88 245
208964.PA0034 208964.PA4437 162 0 0 161
208964.PA0034 208964.PA1611 144 0 98 194
208964.PA0034 208964.PA2583 296 0 101 340
208964.PA0034 208964.PA5017 61 0 138 155
208964.PA0034 208964.PA1992 153 0 147 246
208964.PA0034 208964.PA4982 231 0 74 257
208964.PA0034 208964.PA3074 178 0 0 177
208964.PA0034 208964.PA3044 185 0 53 195
208964.PA0034 208964.PA1243 326 0 170 416
208964.PA0034 208964.PA3271 231 0 166 331
208964.PA0034 208964.PA3946 376 0 168 458
208964.PA0034 208964.PA1396 145 0 74 174
208964.PA0034 208964.PA1976 231 0 102 279
208964.PA0034 208964.PA2824 231 0 74 257
208964.PA0035 208964.PA0651 0 0 357 357
208964.PA0035 208964.PA3165 0 0 152 151
208964.PA0035 208964.PA1903 0 0 395 394
208964.PA0035 208964.PA0649 0 0 225 224
208964.PA0035 208964.PA4447 0 0 152 151
208964.PA0035 208964.PA0036 806 900 357 986
208964.PA0035 208964.PA1002 0 0 225 224
208964.PA0035 208964.PA1276 0 0 152 151
208964.PA0035 208964.PA2531 0 0 152 151
208964.PA0035 208964.PA4214 0 0 395 394
208964.PA0036 208964.PA0035 806 900 357 986
208964.PA0036 208964.PA0649 0 0 223 223
208964.PA0036 208964.PA1002 0 0 223 223
208964.PA0036 208964.PA0651 0 0 532 531
208964.PA0036 208964.PA1903 0 0 395 394
208964.PA0036 208964.PA3113 0 0 358 358
208964.PA0036 208964.PA2609 0 0 223 223
208964.PA0036 208964.PA0650 0 0 535 534
208964.PA0036 208964.PA4214 0 0 395 394
208964.PA0040 208964.PA0692 0 540 0 540
208964.PA0040 208964.PA0690 70 540 96 579
208964.PA0040 208964.PA4625 70 540 96 579
208964.PA0040 208964.PA2463 0 540 0 540
208964.PA0040 208964.PA4540 0 540 0 540
208964.PA0040 208964.PA2462 70 0 225 248
