protein1 protein2 combined_score
208964.PA0029 208964.PA1344 189
208964.PA0029 208964.PA3437 189
208964.PA0029 208964.PA0182 189
208964.PA0029 208964.PA4281 533
208964.PA0029 208964.PA3334 334
208964.PA0029 208964.PA5150 189
208964.PA0029 208964.PA3839 161
208964.PA0029 208964.PA4098 189
208964.PA0029 208964.PA3885 555
208964.PA0029 208964.PA2554 189
208964.PA0029 208964.PA3387 189
208964.PA0029 208964.PA3287 469
208964.PA0029 208964.PA1828 189
208964.PA0029 208964.PA3327 334
208964.PA0029 208964.PA2918 189
208964.PA0029 208964.PA1649 189
208964.PA0029 208964.PA4089 189
208964.PA0029 208964.PA2400 334
208964.PA0029 208964.PA2966 334
208964.PA0029 208964.PA4389 189
208964.PA0029 208964.PA2142 189
208964.PA0029 208964.PA4162 189
208964.PA0029 208964.PA2498 469
208964.PA0029 208964.PA1023 189
208964.PA0029 208964.PA1066 189
208964.PA0029 208964.PA2967 189
208964.PA0029 208964.PA3507 189
208964.PA0029 208964.PA3173 189
208964.PA0029 208964.PA4786 189
208964.PA0029 208964.PA5521 189
208964.PA0029 208964.PA5524 189
208964.PA0029 208964.PA1827 189
208964.PA0029 208964.PA1869 334
208964.PA0029 208964.PA5031 189
208964.PA0029 208964.PA4612 469
208964.PA0029 208964.PA3128 189
208964.PA0030 208964.PA3187 540
208964.PA0030 208964.PA3383 360
208964.PA0030 208964.PA5377 812
208964.PA0030 208964.PA0890 360
208964.PA0030 208964.PA4496 360
208964.PA0030 208964.PA2397 540
208964.PA0030 208964.PA3236 540
208964.PA0030 208964.PA0603 360
208964.PA0030 208964.PA4193 360
208964.PA0030 208964.PA5103 360
208964.PA0030 208964.PA3890 540
208964.PA0030 208964.PA0302 360
208964.PA0030 208964.PA5231 360
208964.PA0030 208964.PA5095 812
208964.PA0030 208964.PA3888 540
208964.PA0030 208964.PA5096 360
208964.PA0030 208964.PA4500 360
208964.PA0030 208964.PA1811 360
208964.PA0030 208964.PA5230 360
208964.PA0030 208964.PA0889 360
208964.PA0030 208964.PA1257 360
208964.PA0030 208964.PA0206 360
208964.PA0030 208964.PA4455 360
208964.PA0030 208964.PA2409 360
208964.PA0030 208964.PA4194 360
208964.PA0030 208964.PA3313 360
208964.PA0030 208964.PA0280 360
208964.PA0030 208964.PA5450 540
208964.PA0030 208964.PA4502 360
208964.PA0030 208964.PA4497 360
208964.PA0030 208964.PA5155 360
208964.PA0030 208964.PA5376 885
208964.PA0030 208964.PA5154 360
208964.PA0030 208964.PA0326 360
208964.PA0030 208964.PA5451 360
208964.PA0030 208964.PA3538 360
208964.PA0030 208964.PA2925 360
208964.PA0030 208964.PA5388 540
208964.PA0030 208964.PA4461 360
208964.PA0030 208964.PA5317 360
208964.PA0030 208964.PA2058 360
208964.PA0030 208964.PA3254 360
208964.PA0030 208964.PA5075 360
208964.PA0030 208964.PA2678 360
208964.PA0030 208964.PA3211 360
208964.PA0030 208964.PA5378 540
208964.PA0030 208964.PA2341 540
208964.PA0030 208964.PA3607 360
208964.PA0030 208964.PA2924 360
208964.PA0030 208964.PA0313 360
208964.PA0030 208964.PA5500 540
208964.PA0030 208964.PA3828 540
208964.PA0030 208964.PA5501 360
208964.PA0030 208964.PA1810 360
208964.PA0030 208964.PA2408 540
208964.PA0030 208964.PA2202 360
208964.PA0030 208964.PA5094 885
208964.PA0030 208964.PA2811 360
208964.PA0030 208964.PA1258 360
208964.PA0030 208964.PA3889 540
208964.PA0030 208964.PA3891 540
208964.PA0030 208964.PA1340 360
208964.PA0030 208964.PA3827 540
208964.PA0030 208964.PA2203 360
208964.PA0030 208964.PA1341 360
208964.PA0031 208964.PA4270 311
208964.PA0031 208964.PA2395 433
208964.PA0031 208964.PA5337 382
208964.PA0031 208964.PA1866 274
208964.PA0031 208964.PA4238 384
208964.PA0031 208964.PA1045 274
208964.PA0031 208964.PA0071 433
208964.PA0033 208964.PA1976 186
208964.PA0033 208964.PA3271 370
208964.PA0033 208964.PA3946 161
208964.PA0033 208964.PA3704 167
208964.PA0033 208964.PA0413 167
208964.PA0033 208964.PA2177 186
208964.PA0033 208964.PA0928 153
208964.PA0033 208964.PA2137 187
208964.PA0033 208964.PA1243 380
208964.PA0033 208964.PA2786 186
208964.PA0033 208964.PA1992 259
208964.PA0033 208964.PA2583 161
208964.PA0034 208964.PA0928 449
208964.PA0034 208964.PA2567 166
208964.PA0034 208964.PA4112 398
208964.PA0034 208964.PA1430 169
208964.PA0034 208964.PA1136 169
208964.PA0034 208964.PA2786 279
208964.PA0034 208964.PA2137 209
208964.PA0034 208964.PA3060 161
208964.PA0034 208964.PA0600 401
208964.PA0034 208964.PA1181 184
208964.PA0034 208964.PA3477 169
208964.PA0034 208964.PA2778 177
